	Bolitoglossa biseriata	Bolitoglossa lozanoi	Caecilia	Caecilia caribea	Caecilia subnigricans	Caecilia thompsoni	Ceratophrys calcarata	Chiasmocleis panamensis	Colostethus inguinalis	Craugastor fitzingeri	Craugastor longirostris	Craugastor raniformis	Dendrobates truncatus	Dendropsophus ebraccatus	Dendropsophus microcephalus	Diasporus anthrax	Diasporus gularis	Engystomops pustulosus	Espadarana prosoblepon	Gastrotheca nicefori	Hemiphractus fasciatus	Hyalinobatrachium colymbiphyllum	Hyalinobatrachium fleischmanni	Hyalinobatrachium valerioi	Hyloscirtus palmeri	Hyloxalus vergeli	Hypsiboas boans	Hypsiboas crepitans	Hypsiboas pugnax	Hypsiboas subocularis	Leptodactylus colombiensis	Leptodactylus fragilis	Leptodactylus fuscus	Leptodactylus insularum	Leptodactylus poecilochilus	Leptodactylus savagei	Lithobates catesbeianus	Lithobates vaillanti	Nelsonophryne aterrima	Oscaecilia polyzona	Parvicaecilia nicefori	Parvicaecilia pricei	Phyllomedusa venusta	Pleurodema brachyops	Pristimantis gaigeae	Pristimantis taeniatus	Pristimantis viejas	Pseudis paradoxa	Pseudopaludicola pusilla	Relictivomer pearsei	Rhaebo haematiticus	Rheobates palmatus	Rhinella humboldti	Rhinella margaritifera	Rhinella marina	Rulyrana susatamai	Sachatamia punctulata	Scarthyla vigilans	Scinax boulengeri	Scinax elaeochroa	Scinax rostratus	Scinax ruber	Scinax x-signatus	Smilisca phaeota	Smilisca sila	Strabomantis bufoniformis	Trachycephalus typhonius	Typhlonectes natans
Estación primatológica estribaciones Serranía de los Montes de María | Ciénaga de La Caimanera | Bosques de planicie Monte de Los Navas | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Ciénaga de La Caimanera | Fauna Amphibia del Cerro Murrucucú	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Ciénaga de La Caimanera | Urrá	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Anfibios de Besotes | Bosques de planicie Monte de Los Navas | Anfibios de los humedales en el departamento de Córdoba | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Anfibios de Besotes | Bosques de planicie Monte de Los Navas | Urrá	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Anfibios de los humedales en el departamento de Córdoba | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Bosques de planicie Monte de Los Navas	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Bosques de planicie Monte de Los Navas | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Fauna Amphibia del Cerro Murrucucú | Anfibios de Besotes | Bosques de planicie Monte de Los Navas | Anfibios de los humedales en el departamento de Córdoba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Fauna Amphibia del Cerro Murrucucú | Anfibios de Besotes | Bosques de planicie Monte de Los Navas | Anfibios de los humedales en el departamento de Córdoba | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Fauna Amphibia del Cerro Murrucucú | Anfibios de Besotes | Bosques de planicie Monte de Los Navas | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Fauna Amphibia del Cerro Murrucucú | Anfibios de Besotes | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Fauna Amphibia del Cerro Murrucucú | Bosques de planicie Monte de Los Navas | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Estación primatológica estribaciones Serranía de los Montes de María | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Fauna Amphibia del Cerro Murrucucú | Urrá	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Anfibios de Besotes | Anfibios de los humedales en el departamento de Córdoba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Anfibios de Besotes | Bosques de planicie Monte de Los Navas | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Bosques de planicie Monte de Los Navas	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reserva Forestal Protectora Serranía Coraza | Ciénaga de La Caimanera | Fauna Amphibia del Cerro Murrucucú | Anfibios de Besotes | Bosques de planicie Monte de Los Navas | Anfibios de los humedales en el departamento de Córdoba | Urrá	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urrá	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
